# ell, 100x100, 100x143, 100x217, 143x143, 143x217, 217x217
  84 1094.353015 571.946690 390.054643 700.909046 385.855286 411.994287
  85 1087.674493 569.508679 388.274381 696.509916 384.118396 409.702491
  86 1081.115839 567.110291 386.523536 692.190462 382.410107 407.450672
  87 1074.673517 564.750419 384.801279 687.948321 380.729616 405.237667
  88 1068.344135 562.428001 383.106814 683.781227 379.076149 403.062364
  89 1062.124437 560.142013 381.439376 679.687006 377.448964 400.923693
  90 1056.011297 557.891474 379.798229 675.663568 375.847347 398.820627
  91 1050.001712 555.675438 378.182666 671.708910 374.270611 396.752179
  92 1044.092798 553.492995 376.592006 667.821105 372.718095 394.717400
  93 1038.281778 551.343268 375.025593 663.998300 371.189164 392.715377
  94 1032.565985 549.225415 373.482798 660.238714 369.683205 390.745232
  95 1026.942851 547.138622 371.963012 656.540633 368.199626 388.806119
  96 1021.409903 545.082104 370.465648 652.902408 366.737861 386.897223
  97 1015.964761 543.055106 368.990143 649.322450 365.297359 385.017760
  98 1010.605130 541.056899 367.535950 645.799228 363.877592 383.166973
  99 1005.328799 539.086777 366.102544 642.331269 362.478049 381.344133
 100 1000.133638 537.144062 364.689418 638.917150 361.098237 379.548537
 101 995.017588 535.228097 363.296080 635.555499 359.737681 377.779505
 102 989.978667 533.338248 361.922058 632.244995 358.395919 376.036382
 103 985.014959 531.473900 360.566894 628.984360 357.072507 374.318536
 104 980.124614 529.634463 359.230145 625.772361 355.767017 372.625355
 105 975.305846 527.819361 357.911385 622.607809 354.479032 370.956248
 106 970.556930 526.028040 356.610197 619.489551 353.208150 369.310644
 107 965.876196 524.259964 355.326184 616.416478 351.953983 367.687992
 108 961.262031 522.514612 354.058956 613.387514 350.716154 366.087757
 109 956.712875 520.791481 352.808139 610.401619 349.494298 364.509422
 110 952.227219 519.090083 351.573369 607.457788 348.288062 362.952487
 111 947.803600 517.409946 350.354293 604.555048 347.097105 361.416468
 112 943.440605 515.750612 349.150572 601.692457 345.921094 359.900895
 113 939.136864 514.111636 347.961873 598.869103 344.759708 358.405316
 114 934.891050 512.492588 346.787877 596.084103 343.612636 356.929288
 115 930.701877 510.893050 345.628271 593.336601 342.479575 355.472386
 116 926.568099 509.312617 344.482754 590.625766 341.360231 354.034195
 117 922.488508 507.750894 343.351034 587.950797 340.254321 352.614315
 118 918.461932 506.207500 342.232825 585.310911 339.161567 351.212356
 119 914.487236 504.682063 341.127852 582.705355 338.081702 349.827940
 120 910.563315 503.174224 340.035846 580.133394 337.014464 348.460700
 121 906.689101 501.683631 338.956547 577.594315 335.959601 347.110282
 122 902.863554 500.209945 337.889701 575.087429 334.916866 345.776338
 123 899.085665 498.752834 336.835063 572.612064 333.886021 344.458533
 124 895.354455 497.311977 335.792394 570.167569 332.866832 343.156541
 125 891.668972 495.887061 334.761461 567.753311 331.859074 341.870045
 126 888.028291 494.477781 333.742037 565.368675 330.862527 340.598737
 127 884.431514 493.083841 332.733903 563.013063 329.876976 339.342317
 128 880.877765 491.704953 331.736844 560.685895 328.902214 338.100493
 129 877.366196 490.340836 330.750652 558.386606 327.938038 336.872983
 130 873.895980 488.991217 329.775124 556.114646 326.984251 335.659510
 131 870.466313 487.655830 328.810063 553.869482 326.040661 334.459806
 132 867.076413 486.334416 327.855275 551.650593 325.107079 333.273610
 133 863.725518 485.026722 326.910575 549.457474 324.183326 332.100668
 134 860.412888 483.732502 325.975778 547.289633 323.269222 330.940732
 135 857.137800 482.451517 325.050708 545.146590 322.364595 329.793561
 136 853.899552 481.183532 324.135191 543.027879 321.469276 328.658920
 137 850.697461 479.928320 323.229057 540.933045 320.583100 327.536580
 138 847.530858 478.685658 322.332142 538.861646 319.705908 326.426319
 139 844.399094 477.455330 321.444285 536.813249 318.837543 325.327918
 140 841.301537 476.237124 320.565329 534.787435 317.977853 324.241166
 141 838.237569 475.030834 319.695121 532.783795 317.126688 323.165857
 142 835.206588 473.836258 318.833513 530.801928 316.283903 322.101788
 143 832.208007 472.653200 317.980357 528.841445 315.449358 321.048764
 144 829.241255 471.481468 317.135513 526.901967 314.622913 320.006592
 145 826.305773 470.320874 316.298841 524.983123 313.804434 318.975085
 146 823.401016 469.171236 315.470206 523.084552 312.993788 317.954061
 147 820.526453 468.032375 314.649475 521.205901 312.190847 316.943342
 148 817.681566 466.904115 313.836519 519.346826 311.395485 315.942753
 149 814.865848 465.786287 313.031212 517.506992 310.607579 314.952125
 150 812.078805 464.678724 312.233430 515.686071 309.827009 313.971291
 151 809.319954 463.581263 311.443053 513.883741 309.053658 313.000090
 152 806.588824 462.493744 310.659963 512.099692 308.287411 312.038364
 153 803.884954 461.416012 309.884044 510.333618 307.528156 311.085956
